name,phone_number,email,birthday,group,type
Susie,+12251984557,sus@gmail.com,2007.12.08,heroes,mobile
Kris,+19374648365,sevf@gmail.com,2008.01.11,heroes,mobile
Mike,+19971256453,mik6452@gmail.com,1992.07.19,tv,work
Spamton,+19972525175,salesman1997@gmail.com,1978.04.07,tv,work
Dess,+12000000025,roar@gmail.com,2002.12.25,holiday,home
Friend,+12251225667,frie@gmail.com,2017.05.28,mysteries,home
Noelle,+17184532234,holiday1225@gmail.com,2008.02.28,holiday,mobile
Pipis,+11111181111,pipiss@gmail.com,1998.09.17,tv,work
Gaster,+16676676670,goner66@gmail.com,1990.01.17,mysteries,work
Tenna,+11767871531,itstvtime67@gmail.com,1977.11.19,tv,work
